id,value
1,deer
2,bird
3,cat
4,airplane
5,dog
6,dog
7,deer
8,frog
9,frog
10,truck
11,deer
12,ship
13,bird
14,dog
15,automobile
16,frog
17,truck
18,truck
19,cat
20,dog
21,bird
22,automobile
23,ship
24,dog
25,deer
26,horse
27,deer
28,dog
29,bird
30,ship
31,frog
32,deer
33,cat
34,truck
35,frog
36,automobile
37,dog
38,ship
39,frog
40,cat
41,automobile
42,deer
43,bird
44,automobile
45,frog
46,truck
47,ship
48,truck
49,dog
50,truck
51,ship
52,ship
53,horse
54,frog
55,frog
56,deer
57,dog
58,truck
59,ship
60,truck
61,dog
62,dog
63,cat
64,horse
65,automobile
66,airplane
67,frog
68,automobile
69,cat
70,frog
71,dog
72,airplane
73,bird
74,truck
75,dog
76,ship
77,airplane
78,frog
79,truck
80,airplane
81,bird
82,truck
83,airplane
84,dog
85,truck
86,horse
87,deer
88,automobile
89,dog
90,bird
91,ship
92,deer
93,frog
94,airplane
95,deer
96,horse
97,frog
98,ship
99,automobile
100,deer
101,automobile
102,automobile
103,frog
104,dog
105,ship
106,airplane
107,dog
108,bird
109,frog
110,ship
111,automobile
112,ship
113,bird
114,ship
115,horse
116,truck
117,deer
118,ship
119,ship
120,dog
121,horse
122,frog
123,frog
124,airplane
125,dog
126,airplane
127,airplane
128,deer
129,truck
130,airplane
131,frog
132,deer
133,frog
134,bird
135,ship
136,dog
137,deer
138,automobile
139,bird
140,truck
141,airplane
142,deer
143,ship
144,airplane
145,deer
146,truck
147,frog
148,dog
149,ship
150,frog
151,horse
152,airplane
153,deer
154,bird
155,frog
156,automobile
157,bird
158,airplane
159,frog
160,automobile
161,truck
162,bird
163,deer
164,horse
165,horse
166,ship
167,ship
168,airplane
169,deer
170,frog
171,truck
172,horse
173,horse
174,ship
175,airplane
176,dog
177,automobile
178,horse
179,airplane
180,airplane
181,automobile
182,deer
183,frog
184,deer
185,airplane
186,deer
187,bird
188,frog
189,dog
190,horse
191,cat
192,deer
193,ship
194,bird
195,dog
196,airplane
197,airplane
198,airplane
199,frog
200,cat
201,truck
202,airplane
203,truck
204,horse
205,cat
206,bird
207,ship
208,deer
209,deer
210,ship
211,deer
212,deer
213,bird
214,cat
215,horse
216,frog
217,frog
218,dog
219,truck
220,horse
221,truck
222,frog
223,bird
224,bird
225,ship
226,truck
227,frog
228,horse
229,airplane
230,horse
231,truck
232,deer
233,bird
234,bird
235,airplane
236,ship
237,airplane
238,bird
239,automobile
240,truck
241,ship
242,automobile
243,ship
244,airplane
245,automobile
246,bird
247,ship
248,dog
249,airplane
250,deer
251,deer
252,ship
253,automobile
254,frog
255,truck
256,truck
257,automobile
258,truck
259,truck
260,deer
261,ship
262,truck
263,truck
264,cat
265,automobile
266,airplane
267,truck
268,deer
269,deer
270,dog
271,dog
272,automobile
273,airplane
274,frog
275,airplane
276,deer
277,truck
278,bird
279,airplane
280,deer
281,bird
282,dog
283,airplane
284,automobile
285,ship
286,airplane
287,ship
288,automobile
289,cat
290,truck
291,ship
292,ship
293,cat
294,airplane
295,bird
296,automobile
297,horse
298,deer
299,dog
300,deer
301,airplane
302,automobile
303,ship
304,bird
305,airplane
306,cat
307,frog
308,frog
309,dog
310,deer
311,deer
312,horse
313,automobile
314,ship
315,deer
316,horse
317,horse
318,automobile
319,ship
320,truck
321,airplane
322,cat
323,ship
324,frog
325,automobile
326,ship
327,frog
328,frog
329,ship
330,truck
331,airplane
332,bird
333,automobile
334,bird
335,frog
336,ship
337,truck
338,automobile
339,frog
340,airplane
341,bird
342,horse
343,frog
344,ship
345,ship
346,ship
347,automobile
348,truck
349,truck
350,airplane
351,ship
352,frog
353,airplane
354,deer
355,cat
356,ship
357,ship
358,deer
359,deer
360,dog
361,automobile
362,frog
363,frog
364,truck
365,airplane
366,frog
367,truck
368,airplane
369,airplane
370,automobile
371,automobile
372,airplane
373,truck
374,frog
375,dog
376,frog
377,cat
378,dog
379,bird
380,frog
381,airplane
382,automobile
383,ship
384,deer
385,frog
386,dog
387,bird
388,dog
389,deer
390,truck
391,dog
392,automobile
393,cat
394,automobile
395,airplane
396,frog
397,truck
398,deer
399,frog
400,truck
401,bird
402,airplane
403,deer
404,truck
405,horse
406,cat
407,frog
408,automobile
409,automobile
410,horse
411,deer
412,airplane
413,horse
414,cat
415,bird
416,truck
417,frog
418,ship
419,horse
420,deer
421,bird
422,airplane
423,deer
424,truck
425,dog
426,bird
427,dog
428,bird
429,ship
430,deer
431,automobile
432,automobile
433,dog
434,bird
435,bird
436,dog
437,truck
438,automobile
439,frog
440,bird
441,truck
442,airplane
443,cat
444,truck
445,dog
446,bird
447,airplane
448,bird
449,airplane
450,ship
451,cat
452,truck
453,dog
454,frog
455,ship
456,truck
457,truck
458,horse
459,frog
460,deer
461,dog
462,dog
463,bird
464,truck
465,frog
466,deer
467,ship
468,truck
469,frog
470,dog
471,automobile
472,truck
473,deer
474,bird
475,ship
476,truck
477,ship
478,cat
479,horse
480,frog
481,frog
482,dog
483,dog
484,truck
485,frog
486,ship
487,deer
488,horse
489,cat
490,airplane
491,automobile
492,ship
493,horse
494,cat
495,ship
496,bird
497,ship
498,dog
499,airplane
500,ship
501,automobile
502,cat
503,automobile
504,truck
505,ship
506,ship
507,frog
508,airplane
509,truck
510,horse
511,cat
512,airplane
513,frog
514,bird
515,ship
516,frog
517,frog
518,ship
519,horse
520,airplane
521,dog
522,dog
523,airplane
524,truck
525,ship
526,deer
527,bird
528,bird
529,deer
530,deer
531,truck
532,truck
533,automobile
534,deer
535,bird
536,truck
537,deer
538,bird
539,truck
540,bird
541,automobile
542,cat
543,dog
544,dog
545,ship
546,deer
547,automobile
548,truck
549,dog
550,airplane
551,bird
552,ship
553,deer
554,automobile
555,automobile
556,truck
557,horse
558,ship
559,dog
560,airplane
561,automobile
562,ship
563,airplane
564,deer
565,truck
566,airplane
567,deer
568,truck
569,cat
570,ship
571,automobile
572,frog
573,deer
574,ship
575,ship
576,frog
577,frog
578,ship
579,cat
580,dog
581,dog
582,bird
583,truck
584,airplane
585,truck
586,ship
587,cat
588,bird
589,frog
590,ship
591,truck
592,deer
593,airplane
594,frog
595,ship
596,dog
597,dog
598,frog
599,truck
600,frog
601,truck
602,horse
603,frog
604,truck
605,cat
606,ship
607,automobile
608,airplane
609,frog
610,truck
611,airplane
612,frog
613,frog
614,ship
615,bird
616,bird
617,truck
618,frog
619,dog
620,airplane
621,ship
622,deer
623,frog
624,airplane
625,automobile
626,dog
627,cat
628,ship
629,airplane
630,frog
631,automobile
632,automobile
633,ship
634,airplane
635,automobile
636,automobile
637,truck
638,deer
639,truck
640,ship
641,airplane
642,frog
643,airplane
644,frog
645,truck
646,dog
647,bird
648,truck
649,bird
650,airplane
651,truck
652,deer
653,truck
654,truck
655,truck
656,ship
657,ship
658,deer
659,deer
660,dog
661,truck
662,dog
663,horse
664,airplane
665,ship
666,airplane
667,dog
668,dog
669,airplane
670,frog
671,airplane
672,truck
673,deer
674,frog
675,dog
676,deer
677,bird
678,truck
679,frog
680,automobile
681,dog
682,frog
683,horse
684,frog
685,deer
686,airplane
687,ship
688,airplane
689,deer
690,airplane
691,airplane
692,airplane
693,ship
694,automobile
695,automobile
696,dog
697,dog
698,ship
699,ship
700,horse
701,bird
702,frog
703,deer
704,ship
705,frog
706,cat
707,bird
708,frog
709,automobile
710,bird
711,ship
712,dog
713,cat
714,dog
715,horse
716,truck
717,frog
718,truck
719,horse
720,ship
721,truck
722,ship
723,ship
724,frog
725,dog
726,dog
727,bird
728,frog
729,truck
730,dog
731,dog
732,bird
733,horse
734,ship
735,horse
736,deer
737,cat
738,horse
739,automobile
740,bird
741,horse
742,frog
743,deer
744,deer
745,truck
746,airplane
747,horse
748,truck
749,truck
750,dog
751,dog
752,frog
753,truck
754,ship
755,truck
756,bird
757,dog
758,deer
759,automobile
760,bird
761,airplane
762,ship
763,horse
764,automobile
765,truck
766,deer
767,dog
768,ship
769,horse
770,bird
771,automobile
772,automobile
773,bird
774,bird
775,horse
776,automobile
777,ship
778,dog
779,ship
780,airplane
781,deer
782,bird
783,airplane
784,truck
785,truck
786,deer
787,truck
788,airplane
789,horse
790,airplane
791,horse
792,ship
793,bird
794,truck
795,truck
796,horse
797,automobile
798,horse
799,dog
800,truck
801,dog
802,deer
803,frog
804,deer
805,truck
806,airplane
807,horse
808,deer
809,frog
810,truck
811,airplane
812,dog
813,truck
814,dog
815,automobile
816,automobile
817,ship
818,bird
819,deer
820,horse
821,ship
822,deer
823,dog
824,truck
825,dog
826,deer
827,airplane
828,truck
829,cat
830,ship
831,cat
832,cat
833,frog
834,truck
835,frog
836,deer
837,automobile
838,truck
839,dog
840,horse
841,bird
842,frog
843,airplane
844,horse
845,deer
846,ship
847,ship
848,dog
849,airplane
850,bird
851,horse
852,truck
853,frog
854,bird
855,dog
856,ship
857,dog
858,truck
859,frog
860,deer
861,horse
862,ship
863,truck
864,truck
865,automobile
866,deer
867,bird
868,airplane
869,dog
870,deer
871,automobile
872,dog
873,automobile
874,dog
875,truck
876,frog
877,frog
878,ship
879,dog
880,automobile
881,deer
882,airplane
883,deer
884,cat
885,airplane
886,dog
887,horse
888,deer
889,truck
890,truck
891,airplane
892,truck
893,truck
894,automobile
895,truck
896,deer
897,truck
898,cat
899,truck
900,bird
901,truck
902,frog
903,dog
904,deer
905,deer
906,truck
907,ship
908,horse
909,deer
910,ship
911,automobile
912,truck
913,dog
914,automobile
915,horse
916,truck
917,ship
918,deer
919,frog
920,frog
921,automobile
922,automobile
923,deer
924,deer
925,horse
926,frog
927,truck
928,dog
929,dog
930,truck
931,truck
932,cat
933,horse
934,automobile
935,cat
936,horse
937,deer
938,airplane
939,bird
940,truck
941,airplane
942,ship
943,ship
944,dog
945,dog
946,truck
947,horse
948,cat
949,airplane
950,ship
951,airplane
952,airplane
953,frog
954,dog
955,deer
956,deer
957,automobile
958,bird
959,truck
960,airplane
961,deer
962,airplane
963,truck
964,bird
965,dog
966,truck
967,cat
968,deer
969,horse
970,truck
971,cat
972,deer
973,frog
974,frog
975,horse
976,airplane
977,automobile
978,deer
979,bird
980,cat
981,bird
982,frog
983,deer
984,ship
985,deer
986,dog
987,truck
988,airplane
989,ship
990,frog
991,ship
992,airplane
993,cat
994,automobile
995,truck
996,truck
997,cat
998,bird
999,frog
1000,automobile
1001,airplane
1002,bird
1003,truck
1004,bird
1005,bird
1006,truck
1007,ship
1008,automobile
1009,airplane
1010,horse
1011,airplane
1012,bird
1013,ship
1014,truck
1015,frog
1016,automobile
1017,truck
1018,airplane
1019,truck
1020,deer
1021,ship
1022,horse
1023,ship
1024,ship
1025,horse
1026,ship
1027,automobile
1028,deer
1029,deer
1030,frog
1031,frog
1032,deer
1033,airplane
1034,airplane
1035,horse
1036,automobile
1037,dog
1038,bird
1039,ship
1040,deer
1041,automobile
1042,frog
1043,truck
1044,automobile
1045,airplane
1046,frog
1047,cat
1048,frog
1049,automobile
1050,airplane
1051,frog
1052,bird
1053,automobile
1054,automobile
1055,dog
1056,frog
1057,ship
1058,deer
1059,deer
1060,horse
1061,frog
1062,automobile
1063,truck
1064,horse
1065,airplane
1066,truck
1067,horse
1068,ship
1069,cat
1070,frog
1071,airplane
1072,frog
1073,deer
1074,truck
1075,automobile
1076,ship
1077,frog
1078,deer
1079,airplane
1080,frog
1081,deer
1082,deer
1083,truck
1084,deer
1085,horse
1086,horse
1087,bird
1088,automobile
1089,deer
1090,airplane
1091,bird
1092,frog
1093,ship
1094,ship
1095,frog
1096,bird
1097,ship
1098,frog
1099,horse
1100,automobile
1101,bird
1102,airplane
1103,frog
1104,bird
1105,dog
1106,airplane
1107,truck
1108,ship
1109,deer
1110,airplane
1111,frog
1112,airplane
1113,dog
1114,deer
1115,frog
1116,truck
1117,frog
1118,automobile
1119,truck
1120,airplane
1121,cat
1122,airplane
1123,dog
1124,frog
1125,ship
1126,horse
1127,horse
1128,frog
1129,cat
1130,airplane
1131,frog
1132,ship
1133,frog
1134,automobile
1135,truck
1136,bird
1137,deer
1138,deer
1139,truck
1140,deer
1141,truck
1142,truck
1143,bird
1144,automobile
1145,deer
1146,bird
1147,cat
1148,dog
1149,ship
1150,airplane
1151,frog
1152,ship
1153,bird
1154,airplane
1155,deer
1156,dog
1157,horse
1158,frog
1159,cat
1160,deer
1161,ship
1162,ship
1163,dog
1164,bird
1165,dog
1166,deer
1167,ship
1168,ship
1169,bird
1170,bird
1171,dog
1172,dog
1173,cat
1174,bird
1175,ship
1176,dog
1177,deer
1178,ship
1179,frog
1180,frog
1181,automobile
1182,frog
1183,truck
1184,bird
1185,automobile
1186,frog
1187,deer
1188,ship
1189,deer
1190,ship
1191,ship
1192,truck
1193,frog
1194,airplane
1195,automobile
1196,truck
1197,cat
1198,dog
1199,ship
1200,deer
1201,ship
1202,dog
1203,airplane
1204,airplane
1205,truck
1206,truck
1207,ship
1208,bird
1209,automobile
1210,ship
1211,deer
1212,bird
1213,truck
1214,truck
1215,horse
1216,frog
1217,frog
1218,deer
1219,ship
1220,airplane
1221,deer
1222,truck
1223,automobile
1224,dog
1225,bird
1226,truck
1227,horse
1228,truck
1229,horse
1230,airplane
1231,horse
1232,horse
1233,frog
1234,automobile
1235,bird
1236,bird
1237,deer
1238,frog
1239,truck
1240,horse
1241,dog
1242,ship
1243,cat
1244,frog
1245,airplane
1246,truck
1247,ship
1248,deer
1249,airplane
1250,frog
1251,airplane
1252,frog
1253,deer
1254,automobile
1255,cat
1256,dog
1257,deer
1258,deer
1259,ship
1260,airplane
1261,bird
1262,airplane
1263,deer
1264,truck
1265,truck
1266,automobile
1267,truck
1268,airplane
1269,dog
1270,bird
1271,horse
1272,airplane
1273,dog
1274,bird
1275,ship
1276,deer
1277,deer
1278,airplane
1279,horse
1280,deer
1281,frog
1282,airplane
1283,ship
1284,automobile
1285,automobile
1286,horse
1287,truck
1288,horse
1289,frog
1290,truck
1291,deer
1292,frog
1293,automobile
1294,dog
1295,airplane
1296,airplane
1297,ship
1298,ship
1299,deer
1300,automobile
1301,ship
1302,ship
1303,airplane
1304,dog
1305,bird
1306,ship
1307,frog
1308,bird
1309,frog
1310,ship
1311,truck
1312,bird
1313,horse
1314,truck
1315,automobile
1316,bird
1317,horse
1318,bird
1319,airplane
1320,ship
1321,ship
1322,deer
1323,horse
1324,horse
1325,bird
1326,deer
1327,automobile
1328,bird
1329,truck
1330,dog
1331,frog
1332,truck
1333,airplane
1334,ship
1335,truck
1336,airplane
1337,cat
1338,horse
1339,deer
1340,dog
1341,automobile
1342,frog
1343,cat
1344,cat
1345,deer
1346,horse
1347,automobile
1348,bird
1349,bird
1350,frog
1351,ship
1352,deer
1353,bird
1354,ship
1355,airplane
